C,C#,D,Eb,E,F,F#,G,Ab,A,Bb,B,key
0.243967828,0.0,0.08310992,0.0,0.131367292,0.136729223,0.0,0.198391421,0.0,0.109919571,0.0,0.096514745,C
0.220883534,0.0,0.136546185,0.0,0.120481928,0.140562249,0.0,0.21686747,0.0,0.072289157,0.0,0.092369478,C
0.211711712,0.002252252,0.108108108,0.004504505,0.117117117,0.132882883,0.0,0.268018018,0.011261261,0.092342342,0.002252252,0.04954955,C
0.175141243,0.0,0.103578154,0.0,0.175141243,0.097928437,0.0,0.265536723,0.016949153,0.094161959,0.0,0.071563089,C
0.147928994,0.00591716,0.136094675,0.00591716,0.189349112,0.065088757,0.0,0.331360947,0.0,0.01183432,0.0,0.106508876,C
0.218543046,0.0,0.145695364,0.0,0.119205298,0.052980132,0.0,0.245033113,0.0,0.132450331,0.0,0.086092715,C
0.172413793,0.0,0.120689655,0.00862069,0.112068966,0.094827586,0.0,0.232758621,0.0,0.112068966,0.017241379,0.129310345,C
0.297658863,0.0,0.157190635,0.0,0.100334448,0.090301003,0.0,0.204013378,0.0,0.086956522,0.0,0.063545151,C
0.210084034,0.016806723,0.168067227,0.008403361,0.142857143,0.12605042,0.008403361,0.201680672,0.008403361,0.033613445,0.008403361,0.067226891,C
0.217391304,0.0,0.115942029,0.0,0.115942029,0.106280193,0.0,0.231884058,0.0,0.125603865,0.009661836,0.077294686,C
0.0,0.024691358,0.296296296,0.0,0.086419753,0.0,0.098765432,0.12345679,0.0,0.209876543,0.0,0.160493827,D
0.0,0.135849057,0.256603774,0.003773585,0.101886792,0.0,0.120754717,0.079245283,0.003773585,0.230188679,0.0,0.067924528,D
0.006896552,0.117241379,0.220689655,0.0,0.089655172,0.0,0.137931034,0.124137931,0.0,0.186206897,0.0,0.117241379,D
0.0,0.074433657,0.258899676,0.0,0.093851133,0.003236246,0.213592233,0.097087379,0.003236246,0.197411003,0.003236246,0.055016181,D
0.013586957,0.081521739,0.172554348,0.002717391,0.152173913,0.005434783,0.076086957,0.111413043,0.008152174,0.262228261,0.013586957,0.100543478,D
0.003921569,0.105882353,0.168627451,0.003921569,0.137254902,0.003921569,0.137254902,0.070588235,0.003921569,0.207843137,0.003921569,0.152941176,D
0.0,0.128125,0.18125,0.0,0.09375,0.003125,0.159375,0.0875,0.0,0.209375,0.00625,0.13125,D
0.0,0.040229885,0.327586207,0.0,0.097701149,0.0,0.224137931,0.114942529,0.0,0.137931034,0.005747126,0.051724138,D
0.012461059,0.090342679,0.174454829,0.0,0.121495327,0.003115265,0.096573209,0.127725857,0.0,0.255451713,0.0,0.118380062,D
0.0,0.082644628,0.181818182,0.0,0.099173554,0.008264463,0.115702479,0.115702479,0.0,0.190082645,0.016528926,0.190082645,D
0.012765957,0.185106383,0.0,0.078723404,0.161702128,0.0,0.09787234,0.0,0.140425532,0.114893617,0.0,0.208510638,E
0.0,0.075949367,0.0,0.139240506,0.240506329,0.0,0.088607595,0.0,0.113924051,0.088607595,0.0,0.253164557,E
0.010989011,0.10989011,0.0,0.087912088,0.186813187,0.0,0.186813187,0.0,0.120879121,0.065934066,0.0,0.230769231,E
0.0,0.114219114,0.004662005,0.130536131,0.223776224,0.009324009,0.065268065,0.004662005,0.051282051,0.121212121,0.004662005,0.27039627,E
0.0,0.112359551,0.0,0.123595506,0.202247191,0.0,0.123595506,0.0,0.168539326,0.08988764,0.0,0.179775281,E
0.005128205,0.092307692,0.0,0.097435897,0.123076923,0.01025641,0.153846154,0.0,0.174358974,0.112820513,0.005128205,0.225641026,E
0.0,0.062780269,0.0,0.107623318,0.179372197,0.0,0.116591928,0.0,0.116591928,0.098654709,0.0,0.31838565,E
0.0,0.072847682,0.006622517,0.092715232,0.185430464,0.0,0.145695364,0.0,0.158940397,0.139072848,0.0,0.198675497,E
0.0,0.110047847,0.0,0.110047847,0.186602871,0.0,0.090909091,0.0,0.138755981,0.105263158,0.0,0.258373206,E
0.0,0.090225564,0.0,0.112781955,0.180451128,0.0,0.127819549,0.0,0.161654135,0.097744361,0.0,0.229323308,E
0.185365854,0.0,0.234146341,0.0,0.107317073,0.175609756,0.0,0.063414634,0.0,0.136585366,0.097560976,0.0,F
0.197424893,0.0,0.175965665,0.0,0.128755365,0.13304721,0.0,0.154506438,0.0,0.081545064,0.128755365,0.0,F
0.189102564,0.003205128,0.099358974,0.0,0.067307692,0.125,0.0,0.108974359,0.0,0.240384615,0.163461538,0.003205128,F
0.10106383,0.010638298,0.20212766,0.015957447,0.106382979,0.132978723,0.0,0.106382979,0.0,0.255319149,0.058510638,0.010638298,F
0.185770751,0.0,0.154150198,0.0,0.079051383,0.158102767,0.0,0.18972332,0.0,0.114624506,0.106719368,0.011857708,F
0.185074627,0.0,0.11641791,0.0,0.098507463,0.197014925,0.0,0.143283582,0.0,0.167164179,0.086567164,0.005970149,F
0.170305677,0.034934498,0.205240175,0.0,0.096069869,0.135371179,0.0,0.148471616,0.0,0.15720524,0.048034934,0.004366812,F
0.234741784,0.0,0.103286385,0.0,0.089201878,0.159624413,0.0,0.20657277,0.0,0.122065728,0.079812207,0.004694836,F
0.172972973,0.0,0.113513514,0.0,0.043243243,0.12972973,0.0,0.205405405,0.0,0.243243243,0.091891892,0.0,F
0.22829582,0.0,0.125401929,0.0,0.064308682,0.192926045,0.0,0.160771704,0.0,0.115755627,0.109324759,0.003215434,F
0.211382114,0.0,0.097560976,0.0,0.097560976,0.203252033,0.0,0.178861789,0.0,0.138211382,0.073170732,0.0,F
0.101123596,0.0,0.191011236,0.0,0.112359551,0.005617978,0.129213483,0.207865169,0.0,0.123595506,0.0,0.129213483,G
0.076923077,0.0,0.217948718,0.0,0.108974359,0.0,0.121794872,0.211538462,0.0,0.147435897,0.006410256,0.108974359,G
0.088962109,0.006589786,0.23723229,0.003294893,0.090609555,0.003294893,0.171334432,0.184514003,0.0,0.121911038,0.0,0.092257002,G
0.093023256,0.005813953,0.25,0.005813953,0.078488372,0.0,0.090116279,0.24127907,0.0,0.119186047,0.005813953,0.110465116,G
0.084812623,0.003944773,0.197238659,0.019723866,0.126232742,0.0,0.118343195,0.118343195,0.001972387,0.149901381,0.001972387,0.177514793,G
0.100096246,0.0,0.18479307,0.011549567,0.113570741,0.019249278,0.090471607,0.216554379,0.01732435,0.115495669,0.0,0.130895091,G
0.091358025,0.0,0.180246914,0.024691358,0.192592593,0.0,0.086419753,0.125925926,0.002469136,0.130864198,0.002469136,0.162962963,G
0.080604534,0.0,0.261964736,0.0,0.070528967,0.010075567,0.050377834,0.244332494,0.0,0.085642317,0.0,0.196473552,G
0.09352518,0.0,0.251798561,0.0,0.129496403,0.0,0.100719424,0.244604317,0.0,0.115107914,0.0,0.064748201,G
0.073417722,0.0,0.136708861,0.005063291,0.184810127,0.0,0.04556962,0.101265823,0.0,0.22278481,0.0,0.230379747,G
0.0,0.125,0.1,0.0083333333333333,0.2083333333333333,0.0,0.0833333333333333,0.0166666666666666,0.125,0.175,0.0,0.1583333333333333,A
0.0029542097488921,0.1861152141802068,0.103397341211226,0.0029542097488921,0.1477104874446085,0.0,0.0974889217134416,0.0029542097488921,0.0960118168389955,0.2304283604135893,0.0,0.1299852289512555,A
0.0,0.1981981981981982,0.1045045045045045,0.0,0.2342342342342342,0.0,0.0684684684684684,0.0,0.0612612612612612,0.1675675675675675,0.0,0.1657657657657657,A
0.0034965034965034,0.1853146853146853,0.1013986013986013,0.0,0.2027972027972027,0.0034965034965034,0.0804195804195804,0.0034965034965034,0.0559440559440559,0.1923076923076923,0.0,0.1713286713286713,A
0.0,0.1575757575757575,0.0727272727272727,0.0,0.206060606060606,0.0,0.1757575757575757,0.0,0.0606060606060606,0.206060606060606,0.0,0.1212121212121212,A
0.0,0.1007751937984496,0.127906976744186,0.0,0.2829457364341085,0.0,0.0581395348837209,0.0,0.0930232558139534,0.3023255813953488,0.0,0.0348837209302325,A
0.0230215827338129,0.1553956834532374,0.074820143884892,0.0057553956834532,0.2330935251798561,0.0,0.1151079136690647,0.0,0.0661870503597122,0.1942446043165467,0.0,0.1323741007194244,A
0.0,0.1277955271565495,0.1150159744408945,0.0,0.2108626198083067,0.0,0.0862619808306709,0.0,0.0894568690095846,0.2460063897763578,0.0,0.1246006389776357,A
0.0,0.1390374331550802,0.1390374331550802,0.0053475935828877,0.1871657754010695,0.0,0.0962566844919786,0.0,0.0748663101604278,0.2299465240641711,0.0,0.1283422459893048,A
0.0050377833753148,0.1435768261964735,0.1259445843828715,0.0,0.198992443324937,0.0,0.070528967254408,0.0,0.1309823677581864,0.2241813602015113,0.0,0.1007556675062972,A
0.0,0.0866873065015479,0.0,0.0897832817337461,0.1052631578947368,0.0,0.3157894736842105,0.0,0.0557275541795665,0.0,0.0928792569659442,0.2538699690402476,A
0.0,0.06876790830945559,0.0,0.09169054441260745,0.11461318051575932,0.0,0.22349570200573066,0.0,0.10315186246418338,0.0,0.12034383954154727,0.27793696275071633,B
